exit,horizon,instance,order,search,solved,total,trivial,valid,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_distinct,gc_exact_sccs,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pairs_weight,gc_proven,gc_sccs,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated
0,2,mprime/prob25,relaxed,0.013031,True,0.022407,False,True,,,,,,,,,,,,,,,,,,
0,2,mprime/prob26,goal_chains,6.46552,True,6.79777,False,True,4,5,0.276256,1,5,0,1,0,1,662,10,4,0,5,0,0.279002,0,0
0,3,mprime/prob26,linear,15.9495,True,16.2638,False,True,,,,,,,,,,,,,,,,,,
0,1,mprime/prob26,relaxed,1.3844,True,1.88243,False,True,,,,,,,,,,,,,,,,,,
0,1,mprime/prob30,goal_chains,5.84594,True,8.10326,False,True,4,10,0.949645,2,9,1,3,0,3,1122,15.5,8,1,7,0,0.958255,0,1
0,3,mprime/prob30,linear,20.4713,True,22.4118,False,True,,,,,,,,,,,,,,,,,,
0,1,mprime/prob30,relaxed,2.97444,True,5.67129,False,True,,,,,,,,,,,,,,,,,,
0,2,mprime/prob32,goal_chains,0.984221,True,1.14196,False,True,0,7,0.00616999,1,5,1,1,0,4,623,5,6,1,2,0,0.00866543,0,2
0,3,mprime/prob32,linear,2.19457,True,2.36072,False,True,,,,,,,,,,,,,,,,,,
0,2,mprime/prob32,relaxed,1.22744,True,1.39088,False,True,,,,,,,,,,,,,,,,,,
0,2,mystery/prob20,goal_chains,41.1377,True,42.7333,False,True,5,2,0.0973015,1,2,0,1,0,1,1606,10,1,0,2,0,0.119339,0,0
0,3,mystery/prob20,linear,60.6472,True,62.3549,False,True,,,,,,,,,,,,,,,,,,
0,2,mystery/prob20,relaxed,41.0414,True,42.5541,False,True,,,,,,,,,,,,,,,,,,
23,,mystery/prob23,goal_chains,,False,,False,,4,9,1.02337,1,8,1,1,0,3,2354,5,8,1,6,0,1.05777,0,1
250,,mystery/prob23,linear,,False,,False,,,,,,,,,,,,,,,,,,,
23,,mystery/prob23,relaxed,,False,,False,,,,,,,,,,,,,,,,,,,
0,1,mystery/prob28,goal_chains,0.00900465,True,0.0154736,False,True,0,10,0.000162234,2,8,0,2,0,1,67,3,8,0,8,0,0.000276515,0,0
0,4,mystery/prob28,linear,0.0241103,True,0.0308847,False,True,,,,,,,,,,,,,,,,,,
0,2,mystery/prob28,relaxed,0.0140555,True,0.0225103,False,True,,,,,,,,,,,,,,,,,,
0,8,nomystery-opt11-strips/p06,goal_chains,4.42139,True,4.50346,False,True,0,48,0.000397433,8,23,3,8,0,5,59,2,40,3,16,0,0.000887537,0,6
0,9,nomystery-opt11-strips/p06,linear,4.87056,True,4.95355,False,True,,,,,,,,,,,,,,,,,,
0,8,nomystery-opt11-strips/p06,relaxed,6.14246,True,6.21774,False,True,,,,,,,,,,,,,,,,,,
0,6,nomystery-opt11-strips/p07,goal_chains,2.94486,True,3.02949,False,True,0,56,0.000460003,9,28,2,9,0,5,75,2,47,2,23,0,0.000938967,0,5
0,10,nomystery-opt11-strips/p07,linear,14.2374,True,14.3302,False,True,,,,,,,,,,,,,,,,,,
0,9,nomystery-opt11-strips/p07,relaxed,18.9568,True,19.0489,False,True,,,,,,,,,,,,,,,,,,
0,8,nomystery-opt11-strips/p08,goal_chains,5.69434,True,5.80264,False,True,0,63,0.000550277,10,30,1,10,0,16,91,2,53,1,15,0,0.00303917,0,9
0,11,nomystery-opt11-strips/p08,linear,24.2841,True,24.3784,False,True,,,,,,,,,,,,,,,,,,
0,11,nomystery-opt11-strips/p08,relaxed,24.1945,True,24.2936,False,True,,,,,,,,,,,,,,,,,,
0,9,nomystery-opt11-strips/p09,goal_chains,18.9414,True,19.126,False,True,0,65,0.000760273,11,33,3,11,0,7,114,2,54,3,23,0,0.00157558,0,9
0,11,nomystery-opt11-strips/p09,linear,31.3319,True,31.494,False,True,,,,,,,,,,,,,,,,,,
0,10,nomystery-opt11-strips/p09,relaxed,29.4937,True,29.6818,False,True,,,,,,,,,,,,,,,,,,
0,8,nomystery-opt11-strips/p10,goal_chains,8.11854,True,8.2315,False,True,0,65,0.000609427,12,33,4,12,0,8,136,2,52,4,19,0,0.00146716,0,8
0,12,nomystery-opt11-strips/p10,linear,60.4294,True,60.5392,False,True,,,,,,,,,,,,,,,,,,
